지역구,동이름,평균평당가격(만원)
광산구,도산동,426.0
광산구,동곡동,169.0
광산구,본량동,36.0
광산구,비아동,253.0
광산구,삼도동,47.0
광산구,송정1동,839.0
광산구,수완동,389.0
광산구,신가동,745.0
광산구,신흥동,181.0
광산구,어룡동,273.0
광산구,우산동,531.0
광산구,운남동,560.0
광산구,월곡1동,595.0
광산구,월곡2동,173.0
광산구,임곡동,47.0
광산구,첨단1동,1202.0
광산구,첨단2동,222.0
광산구,평동,121.0
광산구,하남동,344.0
남구,대촌동,102.0
남구,방림1동,718.0
남구,백운1동,997.0
남구,봉선1동,910.0
남구,사직동,683.0
남구,송암동,160.0
남구,양림동,721.0
남구,월산동,399.0
남구,주월1동,419.0
남구,진월동,304.0
남구,효덕동,137.0
동구,계림1동,712.0
동구,동명동,763.0
동구,산수1동,567.0
동구,서남동,839.0
동구,지산1동,388.0
동구,지원1동,357.0
동구,지원2동,96.0
동구,충장동,1002.0
동구,학운동,92.0
북구,건국동,248.0
북구,동림동,410.0
북구,두암1동,183.0
북구,매곡동,310.0
북구,문화동,498.0
북구,삼각동,301.0
북구,석곡동,54.0
북구,신안동,445.0
북구,신용동,319.0
북구,양산동,598.0
북구,오치1동,275.0
북구,용봉동,449.0
북구,우산동,669.0
북구,운암1동,698.0
북구,일곡동,257.0
북구,임동,1116.0
북구,중앙동,789.0
북구,중흥동,636.0
북구,풍향동,404.0
서구,광천동,786.0
서구,금호1동,511.0
서구,농성1동,853.0
서구,동천동,333.0
서구,서창동,256.0
서구,양동,769.0
서구,유덕동,475.0
서구,풍암동,305.0
서구,화정1동,828.0
