지역구,동이름,총인구수,평균연령
광산구,송정1동,10014,45.8
광산구,송정2동,5975,48.52
광산구,도산동,14202,43.26
광산구,신흥동,4132,47.81
광산구,어룡동,33373,40.16
광산구,우산동,28279,43.66
광산구,월곡1동,9507,45.26
광산구,월곡2동,14380,43.66
광산구,비아동,7172,44.11
광산구,첨단1동,27755,40.45
광산구,첨단2동,41047,39.41
광산구,신가동,18776,38.36
광산구,운남동,28698,41.74
광산구,신창동,33593,37.68
광산구,수완동,73955,36.41
광산구,하남동,26999,38.19
광산구,임곡동,1897,59.17
광산구,동곡동,1629,59.45
광산구,평동,5032,50.54
광산구,삼도동,2115,58.98
광산구,본량동,1809,61.23
남구,양림동,6384,49.01
남구,방림1동,6505,45.82
남구,방림2동,9103,48.16
남구,봉선1동,13347,45.7
남구,봉선2동,27612,40.21
남구,사직동,4483,51.45
남구,월산동,9386,46.98
남구,월산4동,7776,50.5
남구,월산5동,5663,51.77
남구,백운1동,11395,47.38
남구,백운2동,6675,45.36
남구,주월1동,20556,44.39
남구,주월2동,7254,50.4
남구,진월동,27708,43.46
남구,효덕동,15054,43.61
남구,송암동,20829,38.49
남구,대촌동,8724,47.34
동구,충장동,5568,43.3
동구,동명동,3484,48.52
동구,계림1동,9966,44.66
동구,계림2동,13344,41.17
동구,산수1동,7798,47.69
동구,산수2동,9500,49.55
동구,지산1동,3970,46.06
동구,지산2동,4155,47.71
동구,서남동,3196,43.42
동구,학동,7073,45.64
동구,학운동,10660,51.96
동구,지원1동,8923,46.55
동구,지원2동,18150,43.47
북구,중흥1동,4344,46.58
북구,중흥동,15039,43.47
북구,중앙동,3626,45.28
북구,임동,13899,42.47
북구,신안동,11904,46.68
북구,용봉동,36653,43.21
북구,운암1동,18206,43.75
북구,운암2동,10858,49.67
북구,운암3동,13191,44.41
북구,동림동,22243,43.6
북구,우산동,15524,45.65
북구,풍향동,5085,45.03
북구,문화동,22889,44.56
북구,문흥1동,15159,45.44
북구,문흥2동,14321,46.03
북구,두암1동,6973,50.79
북구,두암2동,14465,49.4
북구,두암3동,11951,54.1
북구,삼각동,12994,43.41
북구,일곡동,27655,41.42
북구,매곡동,12985,43.56
북구,오치1동,9972,46.97
북구,오치2동,11287,49.99
북구,석곡동,2228,57.55
북구,건국동,22500,39.93
북구,양산동,35088,41.81
북구,신용동,31760,37.14
서구,양동,2836,57.45
서구,양3동,4104,49.15
서구,농성1동,11533,46.88
서구,농성2동,4323,50.39
서구,광천동,5327,43.59
서구,유덕동,10095,43.31
서구,치평동,29033,42.52
서구,상무1동,23783,42.57
서구,상무2동,22252,47.11
서구,화정1동,15390,45.18
서구,화정2동,19347,41.35
서구,화정3동,8835,48.01
서구,화정4동,19165,43.83
서구,서창동,7077,45.29
서구,금호1동,19063,46.65
서구,금호2동,26478,41.25
서구,풍암동,34005,42.52
서구,동천동,15201,42.1
